Day,Active Cases,Deaths,Recoveries
0,1,0,0
1,1,0,0
2,1,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
9,2,0,0
10,3,0,0
11,4,0,0
12,4,0,0
13,7,0,0
14,8,0,0
15,12,0,0
16,14,0,0
17,17,0,0
18,17,0,0
19,17,0,0
20,19,0,0
21,22,0,0
22,25,0,0
23,25,0,0
24,25,0,1
25,25,0,1
26,27,0,1
27,26,0,2
28,27,0,2
29,30,1,2
30,33,1,6
31,45,1,6
32,50,1,7
33,56,1,9
34,63,1,10
35,72,1,11
36,81,1,12
37,95,2,12
38,121,2,13
39,131,2,14
40,141,2,17
41,150,3,18
42,166,4,19
43,190,5,20
44,205,6,22
45,211,7,24
46,220,7,29
47,234,7,33
48,243,7,43
49,278,7,44
50,306,7,48
51,352,7,57
52,384,7,69
53,404,8,81
54,427,10,84
55,476,12,93
56,508,14,111
57,551,19,119
58,572,21,131
59,621,22,142
60,644,24,148
61,645,28,160
62,676,29,172
63,664,31,224
64,679,33,246
65,713,35,264
66,728,36,288
67,750,41,308
68,769,42,327
69,829,43,338
70,884,45,377
71,943,47,409
72,1047,52,423
73,1197,55,471
74,1367,56,473
75,1399,59,531
76,1617,66,547
77,1837,69,591
78,2082,73,620
79,2401,77,654
80,2751,84,666
81,3089,93,677
82,3298,97,707
83,3639,98,733
84,4131,105,760
85,4665,109,802
86,5210,121,889
87,5878,132,930
88,6336,138,973
89,6575,143,1032
90,6976,162,1091
91,7431,179,1166
92,7898,191,1266
93,8310,207,1394
94,8785,224,1488
95,8842,238,1793
96,9011,263,1944
97,8987,283,2339
98,9173,299,2577
99,9098,328,3059
100,9314,345,3267
101,9501,360,3447
102,9562,372,3593
103,9407,394,3900
104,9266,413,4304
105,9181,435,4589
106,8634,457,5315
107,8500,486,5685
108,8488,517,5966
109,8413,536,6223
110,8307,556,6484
111,8183,566,6717
112,7973,577,7019
113,7470,590,7605
114,6901,606,8247
115,6783,624,8460
116,6643,633,8660
117,6333,657,8989
118,5415,678,9966
119,5003,696,10413
120,4704,713,10794
121,4299,729,11231
122,4100,748,11467
123,3996,756,11586
124,3780,768,11821
125,3302,773,12321
126,3056,784,12594
127,2656,799,13017
128,2386,814,13295
129,2264,825,13431
130,2240,840,13481
131,1946,852,13784
132,1770,863,13978
133,1654,870,14122
134,1559,884,14262
135,1476,890,14413
136,1468,895,14459
137,1464,898,14493
138,1359,900,14633
139,1284,903,14756
140,1192,907,14874
141,1127,913,14979
142,1053,917,15093
143,1049,919,15141
144,1070,919,15158
145,1030,922,15216
146,962,923,15328
147,925,925,15401
148,864,925,15504
149,831,929,15594
150,789,931,15679
151,844,931,15699
152,868,933,15744
153,819,938,15832
154,761,939,15935
155,757,941,16007
156,701,958,16102
157,742,958,16125
158,772,959,16149
159,758,960,16205
160,731,964,16285
161,768,968,16340
162,790,970,16397
163,814,971,16477
164,861,971,16522
165,931,971,16565
166,971,971,16635
167,998,973,16744
168,1077,975,16789
169,1187,976,16873
170,1336,976,16975
171,1551,976,17033
172,1717,976,17075
173,1766,977,17201
174,1828,979,17345
175,1885,981,17493
176,2058,981,17675
177,2298,981,17867
178,2558,982,17990
179,2889,982,18066
180,2924,983,18289
181,2989,983,18557
182,3219,984,18778
183,3500,984,19119
184,3823,984,19392
185,4253,985,19623
186,4612,985,19775
187,4647,987,20157
188,4791,988,20643
189,5184,989,21044
190,5894,991,21313
191,6444,994,21529
192,7002,997,21774
193,7432,997,22183
194,7293,998,22920
195,7653,1001,23542
196,8341,1005,24120
197,8790,1006,24978
198,9849,1012,25497
199,10844,1012,26038
200,11826,1012,26387
201,11877,1017,27296
202,12355,1022,28059
203,12769,1029,28992
204,13075,1035,30165
205,13524,1042,31313
206,14212,1043,32195
207,14922,1048,32920
208,15017,1053,33657
209,14788,1060,34576
210,14319,1065,36018
211,14070,1076,37428
212,13946,1085,38901
213,14156,1092,39910
214,14136,1103,40935
215,13573,1118,42130
216,12879,1134,43724
217,12454,1148,45202
218,12370,1159,46453
219,12231,1174,47613
220,12387,1180,48434
221,12339,1189,49216
222,11822,1202,50213
223,10988,1216,51748
224,10746,1229,52879
225,10407,1240,54069
226,10001,1260,55330
227,10125,1271,56037
228,9998,1285,56749
229,9380,1299,57789
230,9410,1313,58377
231,8916,1326,59448
232,8672,1334,60339
233,8334,1351,61246
234,8203,1360,61966
235,8222,1368,62390
236,7649,1379,63260
237,7340,1397,64041
238,7135,1411,64740
239,7098,1418,65481
240,6779,1427,66433
241,7063,1440,66782
242,7135,1446,67143
243,6862,1453,67675
244,6605,1466,68450
245,6457,1479,69136
246,6332,1488,69741
247,6258,1498,70377
248,6359,1502,70867
249,6446,1506,71256
250,6448,1513,71558
251,6391,1518,71940
252,6112,1524,72432
253,5592,1536,73422
254,5471,1543,74109
255,5723,1546,74493
256,5707,1549,74991
257,5551,1560,75437
258,5505,1567,76003
259,5580,1574,76497
260,5571,1582,77131
261,5479,1592,77755
262,5539,1598,78263
263,5685,1599,78516
264,5430,1603,79046
265,5262,1610,79707
266,5290,1615,80179
267,5400,1618,80692
268,5401,1624,81286
269,5573,1627,81789
270,5680,1629,82116
271,5463,1633,82607
272,5457,1637,83106
273,5350,1646,83755
274,5444,1649,84366
275,5494,1664,84940
276,5631,1670,85420
277,5640,1674,85838
278,5330,1676,86462
279,5248,1679,87022
280,5327,1686,87550
281,5295,1697,88187
282,5433,1709,88782
283,5736,1713,89201
284,5769,1719,89655
285,5729,1727,90097
286,5713,1732,90753
287,5964,1737,91227
288,6169,1747,91820
289,6329,1755,92427
290,6700,1769,92918
291,6907,1775,93318
292,6737,1787,93963
293,7143,1794,94415
294,7107,1798,95071
295,7557,1807,95662
296,7964,1811,96392
297,8604,1816,97080
298,9037,1823,97590
299,9107,1835,98288
300,9615,1850,99048
301,10296,1862,99899
302,10936,1872,100909
303,11720,1884,101815
304,12629,1887,102638
305,13378,1894,103321
306,12994,1905,104643
307,13598,1919,105726
308,14621,1933,106882
309,15470,1954,108396
310,16427,1968,109845
311,17912,1980,110939
312,19151,1987,111851
313,19156,1995,113356
314,18911,2014,114811
315,19213,2035,116429
316,19957,2064,118156
317,20363,2095,120250
318,21685,2109,121589
319,22218,2125,123102
320,21151,2151,125579
321,21402,2192,127320
322,21847,2224,129275
323,22591,2260,131011
324,22575,2305,133432
325,23440,2327,135053
326,23973,2358,136527
327,22994,2397,138997
328,23414,2444,140705
329,23976,2486,142910
330,24862,2512,144964
331,25124,2553,147458
332,26664,2581,148926
333,27666,2601,150288
334,26238,2648,153350
335,26679,2701,155281
